店名,ジャンル,住所,営業時間,ホームページ,オープン日,公式アカウント,address,緯度,経度
エクチュア 難波高島屋店（Ek Chuah）,チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  10:00～20:00  日曜営業  定休日  不定休（高島屋に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.ek-chuah.co.jp/,1986年,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
ケントハウス（本店）,ケーキ、チョコレート、カフェ,大阪府大阪市東成区大今里南1-21-19,営業時間  10:00～21:00（カフェフードは20：:30でオーダーストップとなります。）  日曜営業  定休日  不定休,,,,大阪府大阪市東成区大今里南1-21-19,34.666498,135.543004
サロンドロワイヤル 三番街店（Salon de Royal）,チョコレート,大阪府大阪市北区芝田1-1-3 阪急三番街 南館B2F ,営業時間  10:00～21:00  日曜営業  定休日  無休(阪急三番街に準ず)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.s-royal.com/,2010年1月20日,https://www.facebook.com/salon.de.royal/,大阪府大阪市北区芝田1-1-3,34.706018,135.498238
ル カフェ ヴィー（LE CAFE V）,カフェ、バー、チョコレート,大阪府大阪市中央区心斎橋筋2-8-16 ルイ･ヴィトン メゾン 大阪御堂筋 7F ,営業時間  11:00～22:00(L.O.21:00)  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区心斎橋筋2-8-16,34.671527,135.500594
プレヴェール,ケーキ、チョコレート,大阪府大阪市鶴見区鶴見4-10-35,営業時間  10:00～23:00  日曜営業  定休日  木  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://prevert.jp/,,,大阪府大阪市鶴見区鶴見4-10-35,34.702357,135.561045
ジャンルプラン 鶴見花博通店（JAN RUPURAN）,ケーキ、チョコレート,大阪府大阪市鶴見区鶴見6-6-44,営業時間  9:00～21:00  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://janrupuran.com/,2009年10月16日,https://www.facebook.com/jr.chef.nikki  https://www.instagram.com/janrupuran/,大阪府大阪市鶴見区鶴見6-6-44,34.707565,135.565382
ヴィタメール 阪神梅田本店（WITTAMER）,ケーキ、チョコレート,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 B1F ,営業時間  10:00～20:00  日曜営業  定休日  不定休（阪神百貨店に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.wittamer.jp/,1990年,,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
バトンドール 高島屋 大阪店（Baton dor）,チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  10:00～20:00  日曜営業  定休日  無休 (大阪タカシマヤに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.glico.co.jp/batondor/,2012年10月24日,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
ザ・リッツ・カールトン・チョコレートブティック（The Ritz-Carlton Chocolate Boutique）,チョコレート,大阪府大阪市北区梅田2-5-25 ザ・リッツ・カールトン大阪 1F ,営業時間  8:00～21:30  日曜営業  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.ritz-carlton.co.jp/,,,大阪府大阪市北区梅田2-5-25,34.69796,135.491921
チョコレート ブランチ（chocolate branch）,チョコレート、ソフトクリーム,大阪府豊中市原田中1-17-5,営業時間  11:00～19:00  日曜営業  定休日  水曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.chocolate-branch.com/,2011年4月,,大阪府豊中市原田中1-17-5,34.768677,135.456961
メルカリストランティーノ ルクア大阪店,イタリアン、チョコレート、ワインバー,大阪府大阪市北区梅田3-1-3 ルクア大阪B2F LUCUA FOOD HALL ,営業時間  11:00～23:00ドリンクのラストオーダー22:30お食事のラストオーダー22:00  日曜営業  定休日  不定休日　※ルクア大阪に準ずる,,,,大阪府大阪市北区梅田3-1-3,34.702887,135.495324
ファミーユ,ケーキ、チョコレート,大阪府東大阪市下小阪5-4-11,営業時間  10:30～20:30  日曜営業  定休日  月曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://famille-chocolat.sakura.ne.jp/,2004年,,大阪府東大阪市下小阪5-4-11,34.663188,135.590837
パティスリー・モーン 北信太店（PATISSERIE MOHN）,ケーキ、チョコレート,大阪府和泉市太町61-27,営業時間  [木～火]9:00～19:30  日曜営業  定休日  水曜日、不定休（SNSにて告知）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://patisserie-mohn.com/,,https://www.facebook.com/Patisserie-Mohnパティスリーモーン-710265732321804/  https://www.instagram.com/patisserie_mohn/,大阪府和泉市太町61-27,34.510101,135.441623
グロス・オーフェン,ケーキ、チョコレート,大阪府箕面市桜井1-1-1,営業時間  10:00～19:00  日曜営業  定休日  水曜日、不定休(公式サイト・SNSにて告知)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://grossofen.com/,1981年,https://www.instagram.com/grossofen/,大阪府箕面市桜井1-1-1,34.817241,135.460272
キャギ・ド・レーヴ（Cagi de reves）,チョコレート,大阪府大阪市中央区神崎町4-12 ＵＨＡビル　１Ｆ ,営業時間  [月～金]11:00～20:00[土・日・祝]11:00～17:00  定休日  不定休,http://www.cagidereves.jp/,,,大阪府大阪市中央区神崎町4-12,34.67707,135.512344
ザ・テイラー（THE TAILOR）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  ［月・火・水・木・日］10:00～20:00［金・土］10:00～21:00  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.thetailor.jp/,2019年11月13日,,大阪府大阪市北区角田町8-7,34.70305,135.498352
シュガーバターの木 阪急うめだ店,チョコレート、スイーツ（その他）,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  [日～火]10:00～20:00[水～土]10:00～21:00  日曜営業  定休日  無休 ※阪急うめだ本店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.sugarbuttertree.jp/,2011年5月25日,https://twitter.com/gin_no_budo,大阪府大阪市北区角田町8-7,34.70305,135.498352
アンリ・シャルパンティエ 梅田阪急店（HENRI CHARPENTIER）,ケーキ、チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  [月・火・日]10:00～20:00[水～土]10:00～21:00  日曜営業  定休日  不定休（阪急梅田本店に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.henri-charpentier.com/,,,大阪府大阪市北区角田町8-7,34.70305,135.498352
グレーヌ・ド・ポアール,ケーキ、チョコレート,大阪府大阪市西成区南津守7-13-10,営業時間  10:00～18:00デザートサロン11:00～18:00（L.O.17:00）  日曜営業  定休日  不定休,,,,大阪府大阪市西成区南津守7-13-10,34.623077,135.484226
パティスリーMASA（マサ）,ケーキ、チョコレート,大阪府大阪市西区千代崎2-25-1,営業時間  １０：００～２０：００  日曜営業  定休日  水曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市西区千代崎2-25-1,34.673053,135.476721
リスボン 都島店（LISBON）,ケーキ、チョコレート,大阪府大阪市都島区都島北通1-1-5,営業時間  9:00～22:00  日曜営業  定休日  不定休(SNSにて告知)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.lisbon1983.net/,2010年10月,https://www.facebook.com/リスボン都島-330971380760876/  https://www.instagram.com/lisbonmiyakojima/,大阪府大阪市都島区都島北通1-1-5,34.709513,135.526709
ショコラトリー ココ（chocolaterie COCO）,チョコレート,大阪府大阪市中央区南久宝寺町1-5-15 COZY南久宝寺 1F ,営業時間  [水～日]11:00～19:00（売り切れ次第終了）  日曜営業  定休日  月曜日、火曜日、不定休（SNSにて告知）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://instagram.com/chocolaterie_coco,2015年11月5日,https://www.facebook.com/Chocolaterie-COCO-1128397110521789/  https://www.instagram.com/chocolaterie_coco/,大阪府大阪市中央区南久宝寺町1-5-15,34.679425,135.508526
マリベル・ザ・ラウンジ,チョコレート,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 ,営業時間  10:00〜20:30  日曜営業  定休日  大丸心斎橋に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
ショコラトリー エクチュア もりのみやキューズモールＢＡＳＥ店（La chocolaterie de EkChuah）,チョコレート、ケーキ、ソフトクリーム,大阪府大阪市中央区森ノ宮中央2-1-70 もりのみやキューズモールBASE 1F ,営業時間  10:00～21:00  日曜営業  定休日  不定休(もりのみやキューズモールBASEに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.ek-chuah.co.jp/,2015年4月27日,,大阪府大阪市中央区森ノ宮中央2-1-70,34.680891,135.530651
ブルガリ イル・チョコラート 大阪高島屋店（BVLGARI IL CIOCCOLATO）,チョコレート,大阪府大阪市中央区難波5-1-5 高島屋大阪店 B1F ,営業時間  10:00～20:00  定休日  不定休(高島屋大阪店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
キットカット ショコラトリー 伊丹空港店,カフェ、チョコレート、ケーキ,大阪府豊中市蛍池3-555 伊丹空港中央ブロック 2F ,営業時間  10:00～21:00※当面の間19:00まで  日曜営業  定休日  年中無休（伊丹空港の休業日に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://nestle.jp/brand/kit/chocolatory/,2018年4月18日,https://www.facebook.com/kitkat.japan/  https://twitter.com/kitkatjapan  https://www.instagram.com/kitkat_chocolatory_official_jp,大阪府豊中市蛍池3-555,34.789834,135.442205
ハニーデュークス,チョコレート,大阪府大阪市此花区桜島2-1-33 ユニバーサルスタジオジャパン ,営業時間  不定  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2014年6月,,大阪府大阪市此花区桜島2-1-33,34.667266,135.433643
お菓子の工房　カランリーヌ,ケーキ、チョコレート,大阪府東大阪市池島町3-3-47 パルエミール１Ｆ ,営業時間  販売 10:00～20:00喫茶 10:00～19:00  日曜営業  定休日  水曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.calinrine.com,1998年8月27日,https://www.facebook.com/youko.tango  https://www.instagram.com/calinrine.y/,大阪府東大阪市池島町3-3-47,34.655295,135.630222
ル・ショコラ・アラン・デュカス 大丸心斎橋（LE CHOCOLAT ALAIN DUCASSE）,チョコレート、カフェ、スイーツ（その他）,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 B1F ,営業時間  10:00 - 20:00 (19:30L.O.)  日曜営業  定休日  大丸心斎橋店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
ミナモアレ（minamoalley）,チョコレート,大阪府大阪市中央区道頓堀1-9-1 道頓堀ベルスード 1F ,営業時間  11:00～21:00  日曜営業  定休日  不定休(道頓堀ベルスードに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://minamoalley.co.jp/,2013年10月2日,,大阪府大阪市中央区道頓堀1-9-1,34.668534,135.501125
ホテルショコラ NU茶屋町プラス店（HOTEL Chocolat.）,チョコレート、カフェ,大阪府大阪市北区茶屋町8-26 NU+茶屋町 1F ,営業時間  11:00～20:00(L.O.19:30)  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://hotelchocolat.co.jp/pages/chayamachi,2021年7月16日,https://www.facebook.com/hotelchocolatjp  https://twitter.com/hotelchocolatjp  https://www.instagram.com/hotelchocolatjp,大阪府大阪市北区茶屋町8-26,34.704834,135.499612
モロゾフ 阪神百貨店梅田本店（Morozoff）,ケーキ、スイーツ（その他）、チョコレート,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 B1F ,営業時間  10:00～20:00  日曜営業  定休日  阪神百貨店定休日に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp/,,https://www.facebook.com/morozoff.limited  https://twitter.com/morozoff_sp  https://www.instagram.com/morozoff_sp/,大阪府大阪市北区梅田1-13-13,34.701132,135.499039
ベルアメール うめだ阪急店（BEL AMER）,チョコレート、ケーキ,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  [日～火]10:00～20:00[水～土]10:00～21:00  日曜営業  定休日  阪急うめだ本店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.belamer.jp/,2009年9月3日,,大阪府大阪市北区角田町8-7,34.70305,135.498352
お菓子工房　アントレ 本店,ケーキ、スイーツ（その他）、チョコレート,大阪府泉南市樽井3-37-35,営業時間  9:00～20:00カフェLO18:00  日曜営業  定休日  年中無休,https://ja-jp.facebook.com/oisihii.okashi,2000年11月11日,,大阪府泉南市樽井3-37-35,34.36467,135.261289
リンツ ショコラ ブティック クリスタ長堀店,チョコレート,大阪府大阪市中央区南船場3-長堀地下街4,営業時間  [月～土]11:00～21:00[日]11:00～20:30  日曜営業  定休日  クリスタ長堀に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.lindt.jp/,2018年5月23日,https://www.facebook.com/LindtJapan  https://twitter.com/LindtJapan  https://www.instagram.com/lindt_chocolate_japan/,大阪府大阪市中央区南船場3-長堀地下街4,34.67509,135.503389
ファヤージュ ショコラ（FEUILLAGE CHOCOLAT）,チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店 カス近鉄本店 タワー館 B1F ,営業時間  10:00～20:30  日曜営業  定休日  不定休(あべのハルカス近鉄本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.morozoff.co.jp/quality/cms/news/detail/index705.html,2015年11月4日,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
甘泉堂,和菓子、大福、チョコレート,大阪府大阪市西成区花園南1-4-22,営業時間  [月～水・金～日]8：00～19：30[木]8：30～19：00  日曜営業  定休日  年始（1日～3日）のみ,http://www.kashikobo-kansendo.com/,,,大阪府大阪市西成区花園南1-4-22,34.642583,135.497451
ヴィタメール 梅田大丸店（WITTAMER）,ケーキ、チョコレート、カフェ,大阪府大阪市北区梅田3-1-1 大丸梅田店 ,営業時間  [月～木・日] 10:00～20:30 [金・土] 10:00～21:00  日曜営業  定休日  不定休(大丸梅田店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.wittamer.jp/,2016年3月2日,,大阪府大阪市北区梅田3-1-1,34.703075,135.495271
ゴンチャロフ 大丸心斎橋（Goncharoff）,チョコレート,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 B2F ,営業時間  10：00～20：30  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
菓子工房エリオス,ケーキ、チョコレート,大阪府大阪市東住吉区駒川2-4-22,営業時間  9:00～20:00  定休日  月曜日（祝日の場合、営業　翌日休み）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://helios-smile.com/,,,大阪府大阪市東住吉区駒川2-4-22,34.629021,135.530366
ヴィタメール 大阪高島屋店（WITTAMER）,ケーキ、チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  10:00～20:00  日曜営業  定休日  不定休（高島屋に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.wittamer.jp/,,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
クリ ド コック（cri de coq）,チョコレート、ケーキ、カフェ,大阪府箕面市白島3-7-2 LA GARELLIA 1F ,営業時間  10:00～19:30カフェスペースは19:00(L.O)  日曜営業  定休日  水曜日 第一木曜日,,2014年11月29日,https://www.facebook.com/patissirecridecoq/timeline,大阪府箕面市白島3-7-2,34.838831,135.49138
モンロワール 梅田阪急店,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  [月・火・日] 10:00～20:00[水～土]10:00～21:00  日曜営業  定休日  不定休(阪急うめだ本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.monloire.co.jp/,,,大阪府大阪市北区角田町8-7,34.70305,135.498352
ゴディバ ショコイスト なんばCITY,チョコレート、アイスクリーム,大阪府大阪市中央区難波5-1-60 なんばCITY 1F ,営業時間  10:00～21:30  日曜営業  定休日  なんばCITYに準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,2008年12月29日,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市中央区難波5-1-60,34.66406,135.501469
ビアンクール 大丸心斎橋,チョコレート,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 B2F ,営業時間  10:00～20：30  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
キットカット ギフトショップ,チョコレート,大阪府泉佐野市りんくう往来南3-28 りんくうプレミアムアウトレット内 ,営業時間  10:00～20:00  日曜営業  定休日  毎年2月第3木曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2017年11月23日,,大阪府泉佐野市りんくう往来南3-28,34.406295,135.295885
デメル 阪急梅田本店（DEMEL）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  10:00～20:00  日曜営業  定休日  不定休（阪急に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.demel.co.jp/,,,大阪府大阪市北区角田町8-7,34.70305,135.498352
ゴディバ りんくうプレミアムアウトレット店（GODIVA）,チョコレート、スイーツ（その他）、カフェ,大阪府泉佐野市りんくう往来南3-28 りんくうプレミアムアウトレット ,営業時間  [1月～7月・9月～12月]10:00～20:00[8月]10:00～21:00  日曜営業  定休日  りんくうプレミアムアウトレットに準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府泉佐野市りんくう往来南3-28,34.406295,135.295885
GODIVA Chocolatier 阪急梅田本店（ゴディバ ショコラティエ）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  [日～木]10:00～20:00[金・土]10:00～21:00※阪急うめだ本店に準ずる  日曜営業  定休日  不定休（阪急うめだ本店に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.godiva.co.jp/,,https://www.facebook.com/GodivaJapan  https://twitter.com/godiva_jpn  https://www.instagram.com/godiva_japan/,大阪府大阪市北区角田町8-7,34.70305,135.498352
ブラン洋菓子店,ケーキ、チョコレート,大阪府富田林市甲田3丁目9-11 第二常盤ハイツ１Ｆ ,営業時間  10:00～21:00  定休日  なし  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.p-blanc.com/,,,大阪府富田林市甲田3丁目9-11,34.491024,135.590269
QUON CHOCOLATE 北新地店（クオン チョコレート）,チョコレート,大阪府大阪市北区曾根崎新地1-4-10 銀泉桜橋ビル 1F ,営業時間  [月～金]11:00～20:00[土]11:00～17:00  定休日  日曜日、祝日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://quon-choco.com/,2020年12月,https://www.facebook.com/quonchocolate  https://www.instagram.com/quonchocolate_,大阪府大阪市北区曾根崎新地1-4-10,34.698007,135.495801
ガトーフェスタ ハラダ あべのハルカス近鉄本店（GATEAU FESTA HARADA）,チョコレート、洋菓子（その他）,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 近鉄本店 タワー館 B1F ,営業時間  10:00～20:30  日曜営業  定休日  不定休 (あべのハルカス近鉄本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.gateaufesta-harada.com/,2013年6月13日,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
ヴァルワール（VALOIR）,チョコレート、ケーキ、洋菓子（その他）,大阪府大阪市淀川区西宮原2-6-37,営業時間  [金]12:00～18:30[土･日･祝祭日]11:00～17:00 日曜営業  定休日  月曜日・火曜日・水曜日・木曜日,http://valoir1029.com/,2014年2月,https://www.facebook.com/https://www.facebook.com/valoir1029/,大阪府大阪市淀川区西宮原2-6-37,34.735273,135.489006
袋布向春園 本店（タフコウシュンエン）,日本茶専門店、甘味処、チョコレート,大阪府大阪市城東区今福西5-2-5,営業時間  [月～土]9:00～18:30[日・祝]10:00～18:30  日曜営業  定休日  元日～1月4日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市城東区今福西5-2-5,34.704183,135.546576
ショップ ハルカス300（SHOP HARUKAS 300）,和菓子、チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス 59F ,営業時間  9:00～22:00  日曜営業  定休日  不定休(あべのハルカスに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.abenoharukas-300.jp/observatory/restaurant.html,,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
パティスリー ミヨシ（PÂTISSERIE MIYOSHI ）,ケーキ、洋菓子（その他）、チョコレート,大阪府大阪市都島区毛馬町1-5-15,営業時間  11:00～20:00  日曜営業  定休日  水曜日（+不定休）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2019年1月11日,https://www.facebook.com/Pâtisserie-Miyoshi-956363367885945/  https://www.instagram.com/patisserie_miyoshi/,大阪府大阪市都島区毛馬町1-5-15,34.718804,135.521932
リンツ ショコラ ブティック エミル高槻店,チョコレート,大阪府高槻市城北町2-1-18,,,2020年11月20日,,大阪府高槻市城北町2-1-18,34.849056,135.621565
デメル 高島屋大阪店（DEMEL）,チョコレート、ケーキ,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  10:00～20:00  日曜営業  定休日  不定休（高島屋に準ずる）  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.demel.co.jp/,,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
アンテノール 阿倍野近鉄店,ケーキ、チョコレート,大阪府大阪市阿倍野区阿倍野筋1-1-43 あべのハルカス近鉄本店 ,営業時間  [日～木]10:00～20:00[金・土]10:00～20:30  日曜営業  定休日  不定休、近鉄阿倍野店休業日に準じる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.antenor.jp/,,,大阪府大阪市阿倍野区阿倍野筋1-1-43,34.645952,135.513974
リンツ ショコラ ブティック＆カフェ りんくうプレミアム・アウトレット店,カフェ、チョコレート,大阪府泉佐野市りんくう往来南3-28 りんくうプレミアムアウトレット 2165区画 ,営業時間  10:00～20:00  日曜営業  定休日  不定休,,2015年6月3日,https://www.facebook.com/LindtJapan  https://twitter.com/LindtJapan  https://www.instagram.com/lindt_chocolate_japan/,大阪府泉佐野市りんくう往来南3-28,34.406295,135.295885
ローエンシュタイン 阪急梅田店（LAUENSTEIN）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B2F ,,https://www.lauensteiner.de/confiserie/en/,2012年10月25日,https://www.facebook.com/ConfiserieLauenstein  https://twitter.com/lauensteiner  https://www.instagram.com/Lauenstein_Confiserie,大阪府大阪市北区角田町8-7,34.70305,135.498352
モンプチ ビア カカオ（monpetit via cacao）,チョコレート,大阪府大阪市北区中津1-15-33 曙ビル東館 1F ,営業時間  13:00～20:00  定休日  月曜日、火曜日、水曜日、  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市北区中津1-15-33,34.712171,135.496577
コンフィセリー・ラパート,ケーキ、チョコレート、洋菓子（その他）,大阪府東大阪市喜里川町2-20  このお店は「東大阪市旭町20-26」から移転しています。  ※移転前の情報は最新のものとは異なります。  移転前の店舗情報を見る,営業時間  日曜営業  定休日  月曜日(月1回火曜日休みあり)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2003年,https://www.facebook.com/スイス洋菓子店-コンフィセリーラパート-184526371915875/  https://www.instagram.com/confiserielabhart/,大阪府東大阪市喜里川町2-20,34.665968,135.640258
ショコラフィル（Chocolaphil）,チョコレート、洋菓子（その他）,大阪府大阪市中央区心斎橋筋1-7-1 大丸心斎橋店 本館 B1F ,営業時間  日曜営業  定休日  不定休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2019年9月20日,,大阪府大阪市中央区心斎橋筋1-7-1,34.67385,135.500963
ララ-ショコラ（LaLa-Chocolat）,チョコレート,大阪府高槻市城北町2-13-2,営業時間  10:00～19:00  定休日  日曜日・祝日、不定休(SNSにて告知)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://lala-chocolat.net/,2015年10月21日,https://www.facebook.com/LaLa-chocolat-1048562348501681/  https://www.instagram.com/lala_chocolat1021/,大阪府高槻市城北町2-13-2,34.848602,135.622951
リンツ ショコラ ブティック アルデ新大阪店,チョコレート,大阪府大阪市淀川区西中島5-16-1 アルデ新大阪 2F ,営業時間  10:00～21:00  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.lindt.jp/contents/shop/1280/,2019年5月17日,,大阪府大阪市淀川区西中島5-16-1,34.73372,135.500836
アンリ・シャルパンティエ 難波高島屋店（HENRI CHARPENTIER）,ケーキ、チョコレート,大阪府大阪市中央区難波5-1-5 大阪タカシマヤ B1F ,営業時間  １０：００～２０：００  日曜営業  定休日  百貨店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.henri-charpentier.com/,,,大阪府大阪市中央区難波5-1-5,34.664609,135.501263
BABBI 阪急うめだ店（バッビ）,チョコレート,大阪府大阪市北区角田町8-7 阪急うめだ本店 B1F ,営業時間  [月～木・日] 10:00～20:00 [金・土] 10:00～21:00  定休日  不定休(阪急うめだ本店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市北区角田町8-7,34.70305,135.498352
ケンズカフェ東京 梅田店（KEN'S CAFE TOKYO）,チョコレート、ケーキ、洋菓子（その他）,大阪府大阪市北区茶屋町4-2 エスプライム茶屋町 1F ,営業時間  11:00～19:00  日曜営業  定休日  水曜日（祝日除く）,,,,大阪府大阪市北区茶屋町4-2,34.706309,135.499695
cafe こころひかる,カフェ、和菓子、チョコレート,大阪府大阪市天王寺区下寺町1-3-68 心光寺 ,営業時間  【営業日時】木〜日曜日・祝日木・金曜日→１１：３０〜１７：３０土・日曜日・祝日→ １１：３０〜１８：００（ラストオーダーはclose ３０分前）定休日→月・火臨時休業日→水・１２日（木）・２２日（日）  日曜営業  定休日  毎週月・火曜日,,,,大阪府大阪市天王寺区下寺町1-3-68,34.661741,135.511558
