店名,ジャンル,住所,営業時間,ホームページ,オープン日,公式アカウント,address,緯度,経度
LA PECAN 御堂筋線なんば駅店（ラ ピーカン）,チョコレート,大阪府大阪市中央区難波1-9-7 OsakaMetro御堂筋線なんば駅北中階 改札内 ,営業時間  13:00～21:00  定休日  無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市中央区難波1-9-7,34.667317,135.500732
M Dojima,チョコレート、ケーキ,大阪府大阪市北区堂島浜1丁目3-23,,,2021年10月1日,https://www.instagram.com/m_dojima/?hl=ja,大阪府大阪市北区堂島浜1丁目3-23,34.695715,135.49771
モンロワール 京阪モール京橋店（Monloire）,チョコレート,大阪府大阪市都島区東野田町2-1-38 京阪モール B1F ,営業時間  [月～金]10:30～20:00[土・日・祝]11:00～19:00  日曜営業  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.monloire.co.jp/,2021年9月,,大阪府大阪市都島区東野田町2-1-38,34.697678,135.532913
ホラー・ショップ,チョコレート,大阪府大阪市此花区桜島2-1-33 ユニバーサルスタジオジャパン ,営業時間  不定  定休日  不定休(ユニバーサルスタジオジャパンに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2014年9月,,大阪府大阪市此花区桜島2-1-33,34.667266,135.433643
お菓子工房リギー わくわくシティーオークワ尾崎店内,ケーキ、アイスクリーム、チョコレート,大阪府阪南市下出167-1 わくわくシティーオークワ店　１Ｆ ,営業時間  10：00～19:30  日曜営業  定休日  無休,,,,大阪府阪南市下出167-1,34.362068,135.244586
手作りケーキ&お菓子 m's factory,ケーキ、マカロン、チョコレート,大阪府高石市綾園2-16-5,営業時間  焼き菓子販売[水]11:00～17:00キャラクターケーキ予約販売[火・水・木・金・土]  定休日  月曜日、日曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,https://www.instagram.com/factory_ms,大阪府高石市綾園2-16-5,34.519613,135.435216
ゴディバ 大丸梅田店（GODIVA）,チョコレート,大阪府大阪市北区梅田3-1-1 大丸梅田店 B1F ,,,,,大阪府大阪市北区梅田3-1-1,34.703075,135.495271
ゴンチャロフ 近鉄百貨店上本町店（Goncharoff）,チョコレート,大阪府大阪市天王寺区上本町6-1-55 近鉄百貨店上本町店 B2F ,営業時間  10:00～20:00  定休日  不定休(近鉄百貨店上本町店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府大阪市天王寺区上本町6-1-55,34.665579,135.520925
Mary's 高槻阪急（メリー）,洋菓子（その他）、チョコレート,大阪府高槻市白梅町4-1 高槻阪急 B1F ,営業時間  10:00～20:00  日曜営業  定休日  高槻阪急に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.mary.co.jp/,,https://www.facebook.com/marychocolate.fan  https://twitter.com/marychocolate_c  https://www.instagram.com/marychocolate.jp/,大阪府高槻市白梅町4-1,34.853398,135.618343
まるしげ 緑地公園駅ビル店,スイーツ（その他）、チョコレート,大阪府豊中市東寺内町2-4-1 緑地駅ビル B1F ,営業時間  [月～金] 9:00～21:00 [土・日・祝] 9:00～20:00  定休日  年中無休  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府豊中市東寺内町2-4-1,34.77643,135.498532
ふらんすや イオンモール大日銘店,チョコレート,大阪府守口市大日東町1-18 イオンモール大日 1F ,営業時間  9:00～23:00  定休日  不定休(イイオン大日ジャスコ銘店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府守口市大日東町1-18,34.749561,135.580207
スイーツ ファクトリー スリーズ ルクアイーレ店,ケーキ、チョコレート,大阪府大阪市北区梅田3-1-3 ルクア B2F ,営業時間  10:00～20:30(LO 20:00)  日曜営業  定休日  JR大阪三越伊勢丹に準じる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.cerise-sweets.com/,,,大阪府大阪市北区梅田3-1-3,34.702887,135.495324
チョコレート・ハウス・モンロワール くずはモール店（Chocolate House Mon Loire）,チョコレート,大阪府枚方市楠葉花園町15-1 くずはモール本館 1F ,営業時間  10:00～21:00  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://kuzuha-mall.com/shopguide/detail.php?id=117,,,大阪府枚方市楠葉花園町15-1,34.862232,135.677107
ゴンチャロフ 高島屋堺店（Goncharoff）,チョコレート,大阪府堺市堺区三国ケ丘御幸通59 堺タカシマヤ 2F ,営業時間  10:00～19:00  日曜営業  定休日  不定休(堺タカシマヤに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,http://www.goncharoff.co.jp/,,,大阪府堺市堺区三国ケ丘御幸通59,34.576506,135.484763
メリーチョコレート 京阪百貨店くずはモール店,チョコレート,大阪府枚方市楠葉花園町15-1 京阪百貨店くずはモール店 1F ,営業時間  10:00～20:00  定休日  不定休(京阪百貨店くずはモール店に準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府枚方市楠葉花園町15-1,34.862232,135.677107
モンロワール 京阪枚方店（CHOCOLATE HOUSE Mon Loire）,チョコレート、洋菓子（その他）,大阪府枚方市岡東町19-19 京阪百貨店ひらかた店 1F ,営業時間  10:00～20:00  日曜営業  定休日  京阪百貨店ひらかた店に準ずる  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.monloire.co.jp/,2019年11月7日,https://www.facebook.com/monloire/  https://twitter.com/monloire_pr,大阪府枚方市岡東町19-19,34.815701,135.648734
ココロトカカオ（kokoro to cacao）,チョコレート、ケーキ、洋菓子（その他）,大阪府堺市西区浜寺諏訪ノ森町東2-124-17  このお店は「堺市西区菱木2-2183-5」から移転しています。  ※移転前の情報は最新のものとは異なります。  移転前の店舗情報を見る,営業時間  ［月・火・水］10:00～22:00  定休日  木曜・金曜・土曜・日曜  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,https://www.instagram.com/koko_caca_,大阪府堺市西区浜寺諏訪ノ森町東2-124-17,34.548752,135.4498
神戸フランツ 北新地店,チョコレート,大阪府大阪市北区曽根崎新地1-2-24 ニューウメダビル 1F ,営業時間  18:00～23:00  定休日  土曜日・日曜日・祝日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,,,大阪府大阪市北区曽根崎新地1-2-24,34.700219,135.501036
メリーチョコレート 堺高島屋店,チョコレート,大阪府堺市堺区三国ヶ丘御幸通59 2F ,営業時間  10:00～19:00  日曜営業  定休日  不定休(堺タカシマヤに準ずる)  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,https://www.mary.co.jp/mary/,,,大阪府堺市堺区三国ヶ丘御幸通59,34.576506,135.484763
JOUJOU（【旧店名】樹々）,ケーキ、チョコレート、マカロン,大阪府大阪市生野区勝山北4丁目1-14,営業時間  ［金・日］11：00～18：00  日曜営業  定休日  月・火・水・木・土,,,,大阪府大阪市生野区勝山北4丁目1-14,34.657653,135.53557
ハーブ＆チョコレート COLOR'S（カラーズ）,チョコレート,大阪府堺市南区深阪南100 ふかすみさビル　2F ,営業時間  10:30～19:00  定休日  火曜日  営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2009年,,大阪府堺市南区深阪南100,34.505678,135.507008
ソコラ アメ村店（SÔ CÔ La）,スイーツ（その他）、ソフトクリーム、チョコレート,大阪府大阪市中央区西心斎橋2-10-27 森ビル 1F ,営業時間  11:00～20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,,2020年6月19日,,大阪府大阪市中央区西心斎橋2-10-27,34.671781,135.498324
